model,sample_idx,feature_autocorrelation,feature_total_variation,feature_entropy_norm,feature_coherence_score,feature_fragmentation_score
resnet50,0,0.7025440464373676,0.5250340903193819,0.7818759253647571,0.46067432255906915,0.4105115152165102
resnet50,1,0.6817928239248816,0.49458114058429264,0.7068588033700154,0.4561765202378648,0.34959903320279045
resnet50,2,0.6694598792986904,0.508542194373476,0.7312200845106539,0.4437793532031292,0.3718562663470065
resnet50,3,0.6911694902644352,0.5140076772753912,0.7121549120745368,0.45651650294684376,0.36605309221569315
resnet50,4,0.6616944430985131,0.5126913173171892,0.7066429874215127,0.437428598633098,0.36228972409408927
resnet50,5,0.6346023429039133,0.582972601379877,0.78998377708936,0.4008928154225351,0.46053889757768507
resnet50,6,0.6650739274583555,0.5419694189057523,0.7616210218469444,0.43131460280860856,0.41277530263679374
resnet50,7,0.6508638346714279,0.6064967340124389,0.8253090446986562,0.40514482282563324,0.5005472401606609
resnet50,8,0.6073052314090644,0.5666338910066417,0.7979237218206083,0.3876497469481144,0.4521306232217125
resnet50,9,0.704441685769223,0.5434833732400649,0.7899883150202377,0.45639732696988244,0.42934551426743384
resnet50,10,0.5944993546935791,0.6178606340243329,0.8021783808129427,0.36746017684774057,0.4956344429696975
resnet50,11,0.7004124685053907,0.5347152688464493,0.8011763208719022,0.4563794227654016,0.4284012118084283
resnet50,12,0.6713761177595627,0.5968700084914075,0.8380558202420672,0.4204325425297605,0.5002103845441561
resnet50,13,0.6785757948881644,0.5560814764957956,0.7722526387912761,0.43607986158686074,0.4294353876068272
resnet50,14,0.7114954006294935,0.5800713845929883,0.7984527429500978,0.4502932004004161,0.46315958813513264
resnet50,15,0.6298550676471868,0.5068807991203318,0.715773294251197,0.4179859933279897,0.3628117393790391
resnet50,16,0.6577077805485997,0.502973373238722,0.7661733886397657,0.4376044128654925,0.3853648137698853
resnet50,17,0.7160479893580414,0.5062411327503048,0.7550945558816238,0.4753873558416117,0.38225992330310155
resnet50,18,0.533556831734133,0.5375323855755513,0.7674041467390239,0.34702152406006354,0.41250458169719795
resnet50,19,0.7094504366025982,0.5293573642477246,0.7643942126278762,0.4638879395932224,0.40463770564290735
resnet50,20,0.6842052110037574,0.5196367305818803,0.7525379753164598,0.45024261208912086,0.39104637313215296
resnet50,21,0.6854967251412913,0.5743749228372504,0.8329557984228738,0.4354088185715811,0.4784289224459785
